Ambient light color: Red=0.0000 Green=0.0000 Blue=0.0000

Named object: "BlockoHandRight02"
Tri-mesh, Vertices: 162     Faces: 320
Mapped
Vertex list:
Vertex 0:  X:0.2585     Y:6.3832     Z:-0.3438     U:0.4367     V:0.6319
Vertex 1:  X:0.3128     Y:6.3802     Z:-0.2495     U:0.4227     V:0.6404
Vertex 2:  X:1.6655     Y:5.5338     Z:-1.9743     U:0.6480     V:0.9382
Vertex 3:  X:-0.2510     Y:4.5548     Z:-3.1671     U:0.8426     V:0.6169
Vertex 4:  X:1.8177     Y:4.3915     Z:-2.4432     U:0.7134     V:0.9940
Vertex 5:  X:0.3165     Y:4.6165     Z:2.7651     U:0.0020     V:0.6169
Vertex 6:  X:1.4639     Y:0.7845     Z:-2.3719     U:0.7134     V:0.9865
Vertex 7:  X:1.1262     Y:-0.3284     Z:-2.5700     U:0.7474     V:0.9453
Vertex 8:  X:1.5822     Y:-0.7933     Z:-0.3795     U:0.4344     V:0.9995
Vertex 9:  X:0.9876     Y:-1.3241     Z:2.5612     U:0.0303     V:0.8449
Vertex 10:  X:-0.4685     Y:-1.2753     Z:2.7491     U:0.0234     V:0.5682
Vertex 11:  X:-1.6705     Y:-2.0509     Z:-3.0829     U:0.8595     V:0.4596
Vertex 12:  X:-0.0539     Y:-2.7838     Z:-2.4606     U:0.7515     V:0.7633
Vertex 13:  X:-2.4832     Y:-4.1856     Z:-3.9799     U:0.9995     V:0.3588
Vertex 14:  X:-0.4936     Y:-5.3122     Z:-2.1315     U:0.7149     V:0.7172
Vertex 15:  X:-2.2695     Y:-6.1044     Z:0.0737     U:0.4303     V:0.3588
Vertex 16:  X:-4.2591     Y:-4.9778     Z:-1.7747     U:0.7149     V:0.0005
Vertex 17:  X:0.0050     Y:5.9558     Z:-1.9655     U:0.6684     V:0.6203
Vertex 18:  X:1.2246     Y:5.5653     Z:-2.2760     U:0.6962     V:0.8605
Vertex 19:  X:1.3421     Y:5.8427     Z:-1.5546     U:0.5930     V:0.8651
Vertex 20:  X:0.6572     Y:6.1631     Z:-0.3071     U:0.4265     V:0.7095
Vertex 21:  X:0.9318     Y:5.9054     Z:-0.3526     U:0.4296     V:0.7660
Vertex 22:  X:0.7058     Y:6.1715     Z:0.3133     U:0.3387     V:0.7074
Vertex 23:  X:-1.2196     Y:-2.9438     Z:1.9860     U:0.1430     V:0.4689
Vertex 24:  X:0.1904     Y:-2.1434     Z:2.3390     U:0.0734     V:0.7132
Vertex 25:  X:-0.3064     Y:-4.7882     Z:-1.7143     U:0.6530     V:0.7361
Vertex 26:  X:-0.0558     Y:-4.1725     Z:-1.3472     U:0.5972     V:0.7663
Vertex 27:  X:-0.2827     Y:-3.6185     Z:-2.3753     U:0.7438     V:0.7328
Vertex 28:  X:-0.4293     Y:-4.4613     Z:-2.2656     U:0.7316     V:0.7174
Vertex 29:  X:0.2897     Y:6.3734     Z:-0.3170     U:0.4325     V:0.6374
