Ambient light color: Red=0.0000 Green=0.0000 Blue=0.0000

Named object: "BlockoHandRight"
Tri-mesh, Vertices: 162     Faces: 320
Mapped
Vertex list:
Vertex 0:  X:-0.3396     Y:6.4827     Z:-0.3438     U:0.4367     V:0.6319
Vertex 1:  X:-0.3939     Y:6.4821     Z:-0.2495     U:0.4227     V:0.6404
Vertex 2:  X:-1.7823     Y:5.6955     Z:-1.9743     U:0.6480     V:0.9382
Vertex 3:  X:0.0897     Y:4.6339     Z:-3.1671     U:0.8426     V:0.6169
Vertex 4:  X:-1.9842     Y:4.5610     Z:-2.4432     U:0.7134     V:0.9940
Vertex 5:  X:-0.4746     Y:4.7202     Z:2.7651     U:0.0020     V:0.6169
Vertex 6:  X:-1.7881     Y:0.9420     Z:-2.3719     U:0.7134     V:0.9865
Vertex 7:  X:-1.4993     Y:-0.1847     Z:-2.5700     U:0.7474     V:0.9453
Vertex 8:  X:-1.9750     Y:-0.6292     Z:-0.3795     U:0.4344     V:0.9995
Vertex 9:  X:-1.4042     Y:-1.1855     Z:2.5612     U:0.0303     V:0.8449
Vertex 10:  X:0.0527     Y:-1.2002     Z:2.7491     U:0.0234     V:0.5682
Vertex 11:  X:1.2196     Y:-2.0275     Z:-3.0829     U:0.8595     V:0.4596
Vertex 12:  X:-0.4274     Y:-2.6892     Z:-2.4606     U:0.7515     V:0.7633
Vertex 13:  X:1.9385     Y:-4.1956     Z:-3.9799     U:0.9995     V:0.3588
Vertex 14:  X:-0.0984     Y:-5.2343     Z:-2.1315     U:0.7149     V:0.7172
Vertex 15:  X:1.6413     Y:-6.1032     Z:0.0737     U:0.4303     V:0.3588
Vertex 16:  X:3.6782     Y:-5.0645     Z:-1.7747     U:0.7149     V:0.0005
Vertex 17:  X:-0.1049     Y:6.0447     Z:-1.9655     U:0.6684     V:0.6203
Vertex 18:  X:-1.3404     Y:5.7078     Z:-2.2760     U:0.6962     V:0.8605
Vertex 19:  X:-1.4457     Y:5.9900     Z:-1.5546     U:0.5930     V:0.8651
Vertex 20:  X:-0.7475     Y:6.2802     Z:-0.3071     U:0.4265     V:0.7095
Vertex 21:  X:-1.0331     Y:6.0347     Z:-0.3526     U:0.4296     V:0.7660
Vertex 22:  X:-0.7957     Y:6.2908     Z:0.3133     U:0.3387     V:0.7074
Vertex 23:  X:0.7303     Y:-2.8999     Z:1.9860     U:0.1430     V:0.4689
Vertex 24:  X:-0.6435     Y:-2.0387     Z:2.3390     U:0.0734     V:0.7132
Vertex 25:  X:-0.2625     Y:-4.7027     Z:-1.7143     U:0.6530     V:0.7361
Vertex 26:  X:-0.4861     Y:-4.0767     Z:-1.3472     U:0.5972     V:0.7663
Vertex 27:  X:-0.2352     Y:-3.5331     Z:-2.3753     U:0.7438     V:0.7328
Vertex 28:  X:-0.1255     Y:-4.3815     Z:-2.2656     U:0.7316     V:0.7174
Vertex 29:  X:-0.3712     Y:6.4743     Z:-0.3170     U:0.4325     V:0.6374
Vertex 30:  X:-0.3961     Y:6.4833     Z:-0.1844     U:0.4136     V:0.6396
Vertex 31:  X:-0.3207     Y:6.4871     Z:-0.1510     U:0.4099     V:0.6249
Vertex 32:  X:-1.4727     Y:5.7114     Z:-1.7734     U:0.6239     V:0.8764
Vertex 33:  X:0.9795     Y:6.1262     Z:-0.1106     U:0.4223     V:0.3831
Vertex 34:  X:1.2980     Y:5.8397     Z:-1.2469     U:0.5867     V:0.3459
Vertex 35:  X:0.7828     Y:5.8010     Z:-2.1281     U:0.7036     V:0.4586
Vertex 36:  X:-1.3344     Y:5.7789     Z:1.5211     U:0.1630     V:0.7915
Vertex 37:  X:-1.1006     Y:5.7948     Z:1.8816     U:0.1155     V:0.7410
Vertex 38:  X:-0.4353     Y:6.0953     Z:1.5082     U:0.1762     V:0.6203
Vertex 39:  X:-0.4019     Y:6.3152     Z:0.7688     U:0.2800     V:0.6252
Vertex 40:  X:0.4051     Y:5.8587     Z:1.8421     U:0.1410     V:0.4586
Vertex 41:  X:1.0773     Y:5.8734     Z:1.0731     U:0.2579     V:0.3459
Vertex 42:  X:-0.8718     Y:4.5937     Z:-3.1217     U:0.8235     V:0.7969
Vertex 43:  X:-1.5090     Y:4.5725     Z:-2.8412     U:0.7757     V:0.9118
Vertex 44:  X:-1.9910     Y:5.1373     Z:-2.3710     U:0.7020     V:0.9891
Vertex 45:  X:-1.9536     Y:5.4376     Z:-2.2388     U:0.6834     V:0.9772
Vertex 46:  X:0.0289     Y:5.5060     Z:-2.8763     U:0.7992     V:0.6158
Vertex 47:  X:0.0568     Y:5.2086     Z:-3.0614     U:0.8262     V:0.6164
Vertex 48:  X:1.6895     Y:5.6308     Z:-0.0359     U:0.4223     V:0.2527
Vertex 49:  X:1.8362     Y:5.3423     Z:-0.0177     U:0.4223     V:0.2273
Vertex 50:  X:1.1278     Y:4.6882     Z:-2.6601     U:0.7852     V:0.4126
Vertex 51:  X:-1.6797     Y:4.5773     Z:-2.1929     U:0.6823     V:0.9323
Vertex 52:  X:-1.4662     Y:5.1922     Z:-0.4148     U:0.4343     V:0.8555
Vertex 53:  X:-1.3925     Y:5.4907     Z:-0.4064     U:0.4335     V:0.8390
Vertex 54:  X:-1.6034     Y:4.6597     Z:2.0474     U:0.0878     V:0.8421
Vertex 55:  X:-1.3018     Y:4.6802     Z:2.5124     U:0.0265     V:0.7770
Vertex 56:  X:-0.4854     Y:5.2915     Z:2.6385     U:0.0184     V:0.6164
Vertex 57:  X:-0.4771     Y:5.5834     Z:2.4430     U:0.0454     V:0.6158
Vertex 58:  X:0.6406     Y:4.7627     Z:2.4615     U:0.0594     V:0.4126
Vertex 59:  X:-1.5027     Y:0.9574     Z:-2.1234     U:0.6823     V:0.9284
Vertex 60:  X:-1.3190     Y:0.9748     Z:-1.5546     U:0.6049     V:0.8837
Vertex 61:  X:-1.4843     Y:1.0232     Z:1.3618     U:0.1931     V:0.8626
Vertex 62:  X:-1.4470     Y:1.0389     Z:2.1150     U:0.0878     V:0.8421
Vertex 63:  X:-1.1454     Y:1.0594     Z:2.5799     U:0.0265     V:0.7770
Vertex 64:  X:-1.6570     Y:0.2006     Z:-2.5167     U:0.7371     V:0.9707
Vertex 65:  X:-1.7277     Y:0.4328     Z:-2.4293     U:0.7234     V:0.9805
Vertex 66:  X:0.4147     Y:0.3976     Z:-3.1118     U:0.8479     V:0.5907
Vertex 67:  X:2.1800     Y:0.4837     Z:0.0986     U:0.4205     V:0.2017
Vertex 68:  X:-1.6684     Y:-0.2386     Z:-2.2258     U:0.6969     V:0.9714
Vertex 69:  X:-1.8296     Y:-0.3632     Z:-1.5921     U:0.6061     V:0.9915
Vertex 70:  X:-1.9653     Y:-0.9117     Z:0.9443     U:0.2492     V:0.9766
Vertex 71:  X:-1.7389     Y:-1.0777     Z:1.8558     U:0.1246     V:0.9193
Vertex 72:  X:-1.6153     Y:-0.4701     Z:2.3488     U:0.0558     V:0.8823
Vertex 73:  X:-1.5464     Y:0.2008     Z:1.8936     U:0.1193     V:0.8717
Vertex 74:  X:-0.1362     Y:-0.4604     Z:2.8769     U:0.0014     V:0.5952
Vertex 75:  X:-0.2391     Y:0.2461     Z:2.8631     U:0.0005     V:0.6088
Vertex 76:  X:1.1625     Y:-1.0625     Z:2.4575     U:0.0789     V:0.3639
Vertex 77:  X:0.3693     Y:-2.2612     Z:-3.0474     U:0.8437     V:0.6205
Vertex 78:  X:-0.1195     Y:-2.4792     Z:-2.8056     U:0.8036     V:0.7098
Vertex 79:  X:-1.1724     Y:-0.9159     Z:-2.5644     U:0.7525     V:0.8900
